number	number	number	string	number	string	string	number	array	string	number	array	string	number	array	string	string	number	number
id	role_id	stage	icon	love_max	letter	open_talk	love_type1	value1	description1	love_type2	value2	description2	love_type3	value3	description3	declaration_fo_marriage	plot_id	love_reward_id
101	1	1	love_image1	300	少しお話しませんか？	エピソード1	3	"[10020,1]"	本を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	お日さま、木陰、紅茶、本/nゆったりとした素晴らしい午後/nあなたがいるから/nもっと素晴らしい	400111	1
102	1	2	love_image2	900	今から水遣りをしますの、\n一緒にどうですか？	エピソード2	3	"[10021,1]"	霧吹きを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	優曇華の花が咲くのはただ韋陀のため/n息をのむような美しさ/n深い悲しみ/n感動を覚える執着	400121	2
103	1	3	love_image3	2250	夕暮れの風が気持ち良いですね…。	エピソード3	3	"[10022,1]"	玉笛きを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	傾城の月光/n美しい笛の音/nただ静かなる美しい月日を願うばかり/n久しい時間と共に	400131	3
104	1	4	love_image4	5600	今夜に裏の公園ですか？\n…わかりました。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	夜風が竹垣を揺らす/n白茶の花が月下に咲き誇る/n共に手を取り/n幸せという名の花を植えよう	400141	4
201	2	1	love_image1	450	明日、早朝にグランド集合だ！\nいいな！	エピソード1	3	"[10023,1]"	蛤刃を1つあげよう！	4	[]	信頼度	-1	"[1,3]"	スキンシップ	あなたに出会って/n運命を信じた/nこの未来には努力する価値がある/あなたのために	400211	1
202	2	2	love_image2	1350	なんだお前か、\nわざわざすまんな。	エピソード2	3	"[10043,1]"	果物を1つあげよう！	4	[]	信頼度	-1	"[1,3]"	スキンシップ	もっと強くならなければ/n守りたい人を守れるくらい強く/n価値のある人と/ｎ共に肩を並べて	400221	2
203	2	3	love_image3	3375	キャンプ一日目も終了だな、\nさあ就寝だ！	エピソード3	3	"[10056,1]"	鞭を1つあげよう！	4	[]	信頼度	-1	"[1,3]"	スキンシップ	キャンプの夜/n大切な一緒の時間を/n剣術の練習に使った/n何か間違ったかしら？	400231	3
204	2	4	love_image4	8450	時間なら訓練後に作れるから、\nそのときに来てくれ。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	-1	"[1,3]"	スキンシップ	この気持ちはいつからか/n思うほどに強くなる/n生きる者は死する/n死からは新たに生まれることができる	400241	4
301	3	1	love_image1	150	あなたも喫茶店にくるのですね。	エピソード1	3	"[10017,1]"	ペアルックを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	果てしない人の波/n慌ただしい旅路/n知り合うのは縁/nお付き合いするのは幸い	400311	1
302	3	2	love_image2	450	『皚たること、山上の雪の如く、\n皎たること、雲間の月の若し』	エピソード2	3	"[10015,1]"	ハマナスを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	人生いつの時もお月様のように変化するもの/n出会いや別れも訪れる/n私はこれまでも、そしてこれからも/nあなたを一生愛する	400321	2
303	3	3	love_image3	1125	海にでも行きませんか？	エピソード3	3	"[10025,1]"	バレーボールを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	士は己を/n知る者のために死す/n女は己を/n説ぶ者のために容る	400331	3
304	3	4	love_image4	2800	一緒にお散歩でも行きませんか…？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	あなた様が/n私を捨てなければ/n私は必ず/n添い遂げる	400341	4
401	4	1	love_image1	150	ねえ、囲碁でもやらない？	エピソード1	3	"[10026,1]"	囲碁を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	白と黒が入り乱れる碁盤/ｎ二色の碁石の配置には味わいがある/nあなたには私/ｎ私にはあなたがいる	400411	1
402	4	2	love_image2	450	さて、非常に不味い展開だ。	エピソード2	3	"[10043,1]"	果物を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	誰かが大切に思ってくれる/n誰かの心と通じ合う/nあなたはただ一人/n代わりになる人は誰もいない	400421	2
403	4	3	love_image3	1125	あそこのお店行ってみようよ、\n一人じゃ入りにくいからね。	エピソード3	3	"[10027,1]"	Tシャツを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	ゆったりしたシャツ/nお日さまのにおいでいっぱい/nきれいさっぱり/nまるであなたと同じ	400431	3
